state,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
IN,1830,9357238,1536,8442314,294,888804,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
KS,751,3934384,661,3631940,91,273672,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
KY,1138,5899966,986,5417682,152,460404,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
LA,9771,49690226,8135,44711334,1636,4947012,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
MA,33900,179392165,30984,170289438,2916,8817732,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
MD,17133,90513865,15609,85785232,1525,4610088,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
ME,304,1483355,222,1222402,82,246456,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
MI,27286,142034128,24053,132195746,3233,9777348,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
MN,10537,55954626,9730,53475622,807,2440620,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
MO,1728,9052735,1517,8339722,211,637812,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
MS,5735,29309290,4837,26585984,898,2715552,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
MT,830,4201428,683,3753310,147,443268,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
NY,129583,680181850,116532,640457582,13051,39466728,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
NC,7824,40746415,6884,37832632,940,2843316,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
ND,97,479518,75,409910,22,66528,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
NE,137,694639,111,608224,26,79380,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
NH,238,1200758,188,1032790,50,149940,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
NJ,18821,102073878,17246,94785848,1575,4761540,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
NM,590,3010253,482,2646782,108,326592,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
NV,6848,35766563,6069,33352934,780,2357208,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
OH,14924,77138312,12342,67829800,2583,7810236,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
OK,2604,13293681,2183,11998226,421,1274112,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
OR,8361,43467279,7338,40331480,1023,3092544,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
PA,27711,144610451,24554,134948784,3157,9545760,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
RI,1432,7402616,1239,6810460,193,583128,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
SC,2102,10833081,1793,9851580,309,934668,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
SD,1526,8081001,1401,7700354,125,377748,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
TN,8002,40909467,6743,37058154,1259,3806460,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
TX,57781,297959356,49706,273181428,8076,24420564,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
UT,235,1174401,182,1001646,53,160020,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
VA,6382,34148479,5822,32000002,560,1693188,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
VT,857,4347276,709,3896664,148,448056,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
WA,25715,135711388,23390,128549608,2325,7031808,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
WI,7115,36780395,6165,33881466,950,2872548,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
WV,4671,24037269,4007,22020182,664,2007936,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
WY,189,950935,154,843636,35,106596,MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,0.8782725010337054
AL,2491,12871090,2104,11564500,387,1171044,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
AK,663,3367444,549,3016388,114,344736,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
AR,2373,12149056,2009,11042380,364,1099980,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
AZ,4108,21492618,3556,19544692,552,1668240,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
CA,187725,1007115990,174128,957008862,13597,41117580,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
CO,1034,5127638,784,4307032,250,756756,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
CT,2719,14153816,2367,13009490,352,1063692,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
DC,2056,10285159,1637,8996952,419,1267056,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
DE,745,3870883,651,3575606,95,286776,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
FL,105020,554796546,95729,526124294,9291,28097244,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
GA,2516,12926156,2112,11605720,405,1223208,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
HI,3692,19060239,3184,17497432,508,1535940,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
IA,3084,15842890,2630,14452648,455,1374912,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
ID,566,2899939,477,2619760,89,269388,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
IL,5274,27170180,4455,24486512,819,2476404,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
IN,1830,9357238,1536,8442314,294,888804,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
KS,751,3934384,661,3631940,91,273672,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
KY,1138,5899966,986,5417682,152,460404,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
LA,9771,49690226,8135,44711334,1636,4947012,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
MA,33900,179392165,30984,170289438,2916,8817732,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
MD,17133,90513865,15609,85785232,1525,4610088,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
ME,304,1483355,222,1222402,82,246456,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
MI,27286,142034128,24053,132195746,3233,9777348,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
MN,10537,55954626,9730,53475622,807,2440620,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
MO,1728,9052735,1517,8339722,211,637812,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
MS,5735,29309290,4837,26585984,898,2715552,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
MT,830,4201428,683,3753310,147,443268,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
NY,129583,680181850,116532,640457582,13051,39466728,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
NC,7824,40746415,6884,37832632,940,2843316,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
ND,97,479518,75,409910,22,66528,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
NE,137,694639,111,608224,26,79380,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
NH,238,1200758,188,1032790,50,149940,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
NJ,18821,102073878,17246,94785848,1575,4761540,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
NM,590,3010253,482,2646782,108,326592,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
NV,6848,35766563,6069,33352934,780,2357208,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
OH,14924,77138312,12342,67829800,2583,7810236,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
OK,2604,13293681,2183,11998226,421,1274112,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
OR,8361,43467279,7338,40331480,1023,3092544,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
PA,27711,144610451,24554,134948784,3157,9545760,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
RI,1432,7402616,1239,6810460,193,583128,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
SC,2102,10833081,1793,9851580,309,934668,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
SD,1526,8081001,1401,7700354,125,377748,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
TN,8002,40909467,6743,37058154,1259,3806460,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
TX,57781,297959356,49706,273181428,8076,24420564,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
UT,235,1174401,182,1001646,53,160020,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
VA,6382,34148479,5822,32000002,560,1693188,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
VT,857,4347276,709,3896664,148,448056,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
WA,25715,135711388,23390,128549608,2325,7031808,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
WI,7115,36780395,6165,33881466,950,2872548,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
WV,4671,24037269,4007,22020182,664,2007936,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
WY,189,950935,154,843636,35,106596,MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,0.8674104094279987
AL,2491,12871090,2104,11564500,387,1171044,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
AK,663,3367444,549,3016388,114,344736,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
AR,2373,12149056,2009,11042380,364,1099980,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
AZ,4108,21492618,3556,19544692,552,1668240,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
CA,187725,1007115990,174128,957008862,13597,41117580,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
CO,1034,5127638,784,4307032,250,756756,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
CT,2719,14153816,2367,13009490,352,1063692,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
DC,2056,10285159,1637,8996952,419,1267056,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
DE,745,3870883,651,3575606,95,286776,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
FL,105020,554796546,95729,526124294,9291,28097244,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
GA,2516,12926156,2112,11605720,405,1223208,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
HI,3692,19060239,3184,17497432,508,1535940,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
IA,3084,15842890,2630,14452648,455,1374912,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
ID,566,2899939,477,2619760,89,269388,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
IL,5274,27170180,4455,24486512,819,2476404,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
IN,1830,9357238,1536,8442314,294,888804,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
KS,751,3934384,661,3631940,91,273672,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
KY,1138,5899966,986,5417682,152,460404,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
LA,9771,49690226,8135,44711334,1636,4947012,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
MA,33900,179392165,30984,170289438,2916,8817732,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
MD,17133,90513865,15609,85785232,1525,4610088,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
ME,304,1483355,222,1222402,82,246456,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
MI,27286,142034128,24053,132195746,3233,9777348,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
MN,10537,55954626,9730,53475622,807,2440620,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
MO,1728,9052735,1517,8339722,211,637812,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
MS,5735,29309290,4837,26585984,898,2715552,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
MT,830,4201428,683,3753310,147,443268,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
NY,129583,680181850,116532,640457582,13051,39466728,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
NC,7824,40746415,6884,37832632,940,2843316,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
ND,97,479518,75,409910,22,66528,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
NE,137,694639,111,608224,26,79380,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
NH,238,1200758,188,1032790,50,149940,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
NJ,18821,102073878,17246,94785848,1575,4761540,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
NM,590,3010253,482,2646782,108,326592,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
NV,6848,35766563,6069,33352934,780,2357208,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
OH,14924,77138312,12342,67829800,2583,7810236,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
OK,2604,13293681,2183,11998226,421,1274112,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
OR,8361,43467279,7338,40331480,1023,3092544,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
PA,27711,144610451,24554,134948784,3157,9545760,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
RI,1432,7402616,1239,6810460,193,583128,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
SC,2102,10833081,1793,9851580,309,934668,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
SD,1526,8081001,1401,7700354,125,377748,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
TN,8002,40909467,6743,37058154,1259,3806460,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
TX,57781,297959356,49706,273181428,8076,24420564,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
UT,235,1174401,182,1001646,53,160020,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
VA,6382,34148479,5822,32000002,560,1693188,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
VT,857,4347276,709,3896664,148,448056,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
WA,25715,135711388,23390,128549608,2325,7031808,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
WI,7115,36780395,6165,33881466,950,2872548,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
WV,4671,24037269,4007,22020182,664,2007936,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
WY,189,950935,154,843636,35,106596,MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,0.8816057226837499
AL,2491,12871090,2104,11564500,387,1171044,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
AK,663,3367444,549,3016388,114,344736,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
AR,2373,12149056,2009,11042380,364,1099980,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
AZ,4108,21492618,3556,19544692,552,1668240,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
CA,187725,1007115990,174128,957008862,13597,41117580,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
CO,1034,5127638,784,4307032,250,756756,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
CT,2719,14153816,2367,13009490,352,1063692,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
DC,2056,10285159,1637,8996952,419,1267056,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
DE,745,3870883,651,3575606,95,286776,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
FL,105020,554796546,95729,526124294,9291,28097244,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
GA,2516,12926156,2112,11605720,405,1223208,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
HI,3692,19060239,3184,17497432,508,1535940,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
IA,3084,15842890,2630,14452648,455,1374912,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
ID,566,2899939,477,2619760,89,269388,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
IL,5274,27170180,4455,24486512,819,2476404,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
IN,1830,9357238,1536,8442314,294,888804,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
KS,751,3934384,661,3631940,91,273672,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
KY,1138,5899966,986,5417682,152,460404,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
LA,9771,49690226,8135,44711334,1636,4947012,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
MA,33900,179392165,30984,170289438,2916,8817732,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
MD,17133,90513865,15609,85785232,1525,4610088,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
ME,304,1483355,222,1222402,82,246456,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
MI,27286,142034128,24053,132195746,3233,9777348,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
MN,10537,55954626,9730,53475622,807,2440620,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
MO,1728,9052735,1517,8339722,211,637812,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
MS,5735,29309290,4837,26585984,898,2715552,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
MT,830,4201428,683,3753310,147,443268,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
NY,129583,680181850,116532,640457582,13051,39466728,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
NC,7824,40746415,6884,37832632,940,2843316,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
ND,97,479518,75,409910,22,66528,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
NE,137,694639,111,608224,26,79380,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
NH,238,1200758,188,1032790,50,149940,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
NJ,18821,102073878,17246,94785848,1575,4761540,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
NM,590,3010253,482,2646782,108,326592,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
NV,6848,35766563,6069,33352934,780,2357208,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
OH,14924,77138312,12342,67829800,2583,7810236,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
OK,2604,13293681,2183,11998226,421,1274112,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
OR,8361,43467279,7338,40331480,1023,3092544,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
PA,27711,144610451,24554,134948784,3157,9545760,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
RI,1432,7402616,1239,6810460,193,583128,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
SC,2102,10833081,1793,9851580,309,934668,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
SD,1526,8081001,1401,7700354,125,377748,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
TN,8002,40909467,6743,37058154,1259,3806460,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
TX,57781,297959356,49706,273181428,8076,24420564,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
UT,235,1174401,182,1001646,53,160020,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
VA,6382,34148479,5822,32000002,560,1693188,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
VT,857,4347276,709,3896664,148,448056,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
WA,25715,135711388,23390,128549608,2325,7031808,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
WI,7115,36780395,6165,33881466,950,2872548,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
WV,4671,24037269,4007,22020182,664,2007936,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
WY,189,950935,154,843636,35,106596,NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,0.817577594823203
AL,2491,12871090,2104,11564500,387,1171044,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
AK,663,3367444,549,3016388,114,344736,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
AR,2373,12149056,2009,11042380,364,1099980,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
AZ,4108,21492618,3556,19544692,552,1668240,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
CA,187725,1007115990,174128,957008862,13597,41117580,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
CO,1034,5127638,784,4307032,250,756756,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
CT,2719,14153816,2367,13009490,352,1063692,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
DC,2056,10285159,1637,8996952,419,1267056,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
DE,745,3870883,651,3575606,95,286776,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
FL,105020,554796546,95729,526124294,9291,28097244,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
GA,2516,12926156,2112,11605720,405,1223208,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
HI,3692,19060239,3184,17497432,508,1535940,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
IA,3084,15842890,2630,14452648,455,1374912,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
ID,566,2899939,477,2619760,89,269388,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
IL,5274,27170180,4455,24486512,819,2476404,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
IN,1830,9357238,1536,8442314,294,888804,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
KS,751,3934384,661,3631940,91,273672,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
KY,1138,5899966,986,5417682,152,460404,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
LA,9771,49690226,8135,44711334,1636,4947012,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
MA,33900,179392165,30984,170289438,2916,8817732,ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,0.8509675812600976
