state,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
DE,745,3870883,651,3575606,95,286776,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
FL,105020,554796546,95729,526124294,9291,28097244,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
GA,2516,12926156,2112,11605720,405,1223208,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
HI,3692,19060239,3184,17497432,508,1535940,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
IA,3084,15842890,2630,14452648,455,1374912,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
ID,566,2899939,477,2619760,89,269388,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
IL,5274,27170180,4455,24486512,819,2476404,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
IN,1830,9357238,1536,8442314,294,888804,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
KS,751,3934384,661,3631940,91,273672,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
KY,1138,5899966,986,5417682,152,460404,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
LA,9771,49690226,8135,44711334,1636,4947012,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
MA,33900,179392165,30984,170289438,2916,8817732,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
MD,17133,90513865,15609,85785232,1525,4610088,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
ME,304,1483355,222,1222402,82,246456,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
MI,27286,142034128,24053,132195746,3233,9777348,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
MN,10537,55954626,9730,53475622,807,2440620,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
MO,1728,9052735,1517,8339722,211,637812,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
MS,5735,29309290,4837,26585984,898,2715552,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
MT,830,4201428,683,3753310,147,443268,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
NY,129583,680181850,116532,640457582,13051,39466728,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
NC,7824,40746415,6884,37832632,940,2843316,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
ND,97,479518,75,409910,22,66528,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
NE,137,694639,111,608224,26,79380,AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444
