state,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,LOS,Medicare_Coverage,year
OK,36.6841046277666,68566.4232193159,14220.884692152917,12075.959987927565,5.32,0.8491707969892393,2019
OR,28.105194805194806,57770.03453896104,19002.067285714285,16207.908032467532,4.88,0.8529549858321259,2019
PA,33.46406677970523,80652.28097691404,15732.523121168644,12614.740636494065,5.4,0.8018256537325855,2019
RI,31.847396768402156,41724.70457809695,14186.77987432675,12050.685619389587,5.06,0.8494306478383606,2019
SC,35.706729159691996,74673.02756277201,15138.292674924674,12537.523163709408,5.85,0.8281992846179261,2019
SD,35.98705501618123,52780.26478964401,15166.851132686084,13671.065436893205,5.07,0.9013779668101765,2019
TN,36.55721873491067,64235.862626750364,14528.190659101883,11703.646745533559,5.5,0.805581852562022,2019
TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,5.51,0.8353286617732884,2019
UT,30.160997732426303,57048.360226757366,17957.731224489795,15171.002199546485,3.83,0.8448173107111149,2019
VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,5.66,0.8042104092710204,2019
VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,5.31,0.8254449778302756,2019
WA,32.68175853018373,75282.48249343832,18245.774248687663,15005.293914041995,5.57,0.8223983103989823,2019
WI,30.666412213740458,55682.461164122135,15838.847167938931,12861.698164122137,5.1,0.8120349939455724,2019
WV,35.295890410958904,47220.435917808216,13518.595171232877,11049.930157534247,5.84,0.8173874590939844,2019
WY,27.13807531380753,45559.24372384937,16289.8289958159,14289.431297071129,4.74,0.8771995888195891,2019
